cab_id,empty_cruise_ratio_percentage
1,31.81
2,29.44
3,37.38
4,29.25
5,51.62
6,23.0
7,30.86
8,42.39
9,41.56
10,34.26
11,39.83
12,18.44
13,31.89
14,34.5
15,41.48
16,49.42
17,32.62
18,33.41
19,33.48
20,22.06
21,40.52
22,24.91
23,20.7
24,22.14
25,39.39
26,34.68
27,33.77
28,31.37
29,34.11
30,31.25
