cab_id,avg_occupancy
1,1.0
2,1.0
3,1.33
4,1.33
5,1.0
6,1.67
7,1.0
8,1.5
9,1.0
10,1.0
11,1.33
12,1.5
13,1.33
14,1.5
15,1.0
16,1.0
17,1.33
18,1.25
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.33
25,1.0
26,1.0
27,1.33
28,1.25
29,1.0
30,1.5
