cab_id,operating_time_ratio_percentage
1,83.74
2,86.1
3,89.1
4,82.36
5,85.52
6,86.64
7,93.88
8,88.05
9,82.9
10,89.12
11,87.07
12,83.38
13,88.45
14,82.29
15,82.45
16,85.26
17,89.62
18,85.31
19,82.76
20,86.14
21,86.02
22,85.88
23,81.76
24,82.83
25,88.0
26,88.19
27,84.26
28,84.71
29,93.9
30,83.79
