cab_id,avg_occupancy
1,2.11
2,2.1
3,1.88
4,2.09
5,2.43
6,2.0
7,1.78
8,2.11
9,2.12
10,2.5
11,2.0
12,2.33
13,2.12
14,2.0
15,2.22
16,1.91
17,1.9
18,2.5
19,1.89
20,2.0
21,2.12
22,2.12
23,2.0
24,1.88
25,1.75
26,2.22
27,2.0
28,2.0
29,1.8
30,2.33
