cab_id,empty_cruise_ratio_percentage
1,37.36
2,36.64
3,39.39
4,31.8
5,33.85
6,27.29
7,34.77
8,37.37
9,37.13
10,33.42
11,34.86
12,32.21
13,33.89
14,37.41
15,36.38
16,35.94
17,34.64
18,34.05
19,36.74
20,35.52
21,36.87
22,30.02
23,35.96
24,33.23
25,38.01
26,36.45
27,37.58
28,35.75
29,33.82
30,36.52
