order_id,completed_seconds,next_train_time,waiting_time,on_time
4,196,500,304,True
19,269,1400,1131,True
22,269,1400,1131,True
6,305,500,195,True
14,315,1400,1085,True
32,341,1400,1059,True
3,347,500,153,True
18,371,1400,1029,True
7,377,1400,1023,True
23,383,1400,1017,True
25,386,1400,1014,True
31,398,1400,1002,True
12,403,500,97,True
34,409,1400,991,True
26,416,1400,984,True
28,431,1400,969,True
29,440,1400,960,True
5,452,1400,948,True
21,461,1400,939,True
37,498,1400,902,True
27,507,1400,893,True
35,519,1400,881,True
38,525,1400,875,True
42,559,1400,841,True
41,564,1400,836,True
43,564,1400,836,True
30,575,1400,825,True
33,575,1400,825,True
17,583,1400,817,True
44,598,1400,802,True
16,602,1400,798,True
24,602,1400,798,True
1,605,1400,795,True
2,605,1400,795,True
40,608,1400,792,True
11,638,1400,762,True
13,638,1400,762,True
36,665,1400,735,True
50,700,1400,700,True
65,704,1400,696,True
62,709,1400,691,True
49,722,1400,678,True
15,726,1400,674,True
20,726,1400,674,True
52,742,1400,658,True
56,765,1400,635,True
61,765,1400,635,True
8,768,1400,632,True
9,768,1400,632,True
10,768,1400,632,True
51,773,1400,627,True
60,773,1400,627,True
39,781,1400,619,True
46,793,1400,607,True
79,825,1400,575,True
82,825,1400,575,True
53,864,1400,536,True
45,868,1400,532,True
64,872,1400,528,True
72,872,1400,528,True
91,905,1400,495,True
73,928,1400,472,True
90,928,1400,472,True
80,947,1400,453,True
99,954,1400,446,True
108,954,1400,446,True
101,961,1400,439,True
58,969,1400,431,True
67,973,1400,427,True
74,973,1400,427,True
54,977,1400,423,True
124,989,1400,411,True
128,989,1400,411,True
94,996,1400,404,True
107,996,1400,404,True
68,1008,1400,392,True
75,1027,1400,373,True
87,1027,1400,373,True
110,1032,1400,368,True
129,1032,1400,368,True
48,1041,1400,359,True
95,1098,1400,302,True
47,1113,1400,287,True
55,1113,1400,287,True
140,1127,1400,273,True
160,1127,1400,273,True
83,1131,1400,269,True
113,1131,1400,269,True
57,1177,1400,223,True
63,1177,1400,223,True
98,1208,1400,192,True
145,1208,1400,192,True
69,1211,1400,189,True
126,1211,1400,189,True
130,1211,1400,189,True
104,1218,1400,182,True
142,1218,1400,182,True
153,1222,1400,178,True
166,1222,1400,178,True
66,1226,1400,174,True
109,1226,1400,174,True
170,1242,1400,158,True
190,1242,1400,158,True
193,1242,1400,158,True
76,1259,1400,141,True
96,1259,1400,141,True
70,1267,1400,133,True
71,1267,1400,133,True
89,1270,1400,130,True
92,1270,1400,130,True
81,1276,1400,124,True
84,1276,1400,124,True
151,1279,1400,121,True
158,1279,1400,121,True
134,1285,1400,115,True
192,1285,1400,115,True
161,1291,1400,109,True
165,1291,1400,109,True
88,1310,1400,90,True
118,1310,1400,90,True
97,1326,1400,74,True
138,1326,1400,74,True
139,1326,1400,74,True
135,1342,1400,,False
162,1342,1400,,False
117,1353,1400,,False
127,1353,1400,,False
133,1374,1400,,False
136,1374,1400,,False
137,1374,1400,,False
155,1382,1400,,False
156,1382,1400,,False
177,1411,1400,,False
183,1411,1400,,False
168,1424,1400,,False
148,1452,1400,,False
226,1471,2300,829,True
228,1471,2300,829,True
125,1475,1400,,False
171,1475,1400,,False
182,1475,1400,,False
181,1486,1400,,False
191,1486,1400,,False
106,1492,1400,,False
122,1492,1400,,False
123,1492,1400,,False
143,1497,1400,,False
144,1497,1400,,False
175,1501,1400,,False
232,1501,2300,799,True
185,1510,1400,,False
198,1510,1400,,False
196,1532,1400,,False
235,1532,2300,768,True
141,1574,1400,,False
189,1574,1400,,False
195,1577,1400,,False
172,1588,1400,,False
219,1588,2300,712,True
152,1596,1400,,False
173,1596,1400,,False
180,1596,2300,704,True
146,1619,1400,,False
167,1619,1400,,False
116,1668,1400,,False
163,1668,1400,,False
176,1668,1400,,False
178,1668,2300,632,True
236,1674,2300,626,True
238,1674,2300,626,True
241,1674,2300,626,True
261,1680,2300,620,True
273,1680,2300,620,True
281,1680,2300,620,True
199,1713,2300,587,True
260,1713,2300,587,True
154,1719,1400,,False
188,1719,2300,581,True
244,1736,2300,564,True
278,1736,2300,564,True
293,1736,2300,564,True
249,1750,2300,550,True
263,1750,2300,550,True
311,1750,2300,550,True
202,1756,2300,544,True
218,1756,2300,544,True
221,1756,2300,544,True
179,1763,1400,,False
215,1763,2300,537,True
220,1763,2300,537,True
288,1776,2300,524,True
309,1776,2300,524,True
262,1779,2300,521,True
307,1779,2300,521,True
329,1785,2300,515,True
333,1785,2300,515,True
246,1800,2300,500,True
271,1800,2300,500,True
227,1804,2300,496,True
240,1804,2300,496,True
253,1804,2300,496,True
208,1829,2300,471,True
225,1829,2300,471,True
248,1829,2300,471,True
115,1835,1400,,False
159,1835,2300,465,True
174,1835,2300,465,True
201,1838,2300,462,True
203,1838,2300,462,True
205,1838,2300,462,True
216,1841,2300,459,True
251,1841,2300,459,True
320,1846,2300,454,True
326,1846,2300,454,True
252,1849,2300,451,True
294,1849,2300,451,True
301,1849,2300,451,True
265,1896,2300,404,True
282,1896,2300,404,True
314,1896,2300,404,True
239,1909,2300,391,True
267,1909,2300,391,True
289,1909,2300,391,True
290,1909,2300,391,True
250,1949,2300,351,True
295,1949,2300,351,True
184,1953,2300,347,True
254,1953,2300,347,True
256,1972,2300,328,True
264,1972,2300,328,True
284,1972,2300,328,True
286,1972,2300,328,True
298,1983,2300,317,True
350,1983,2300,317,True
149,1994,1400,,False
194,1994,2300,306,True
361,1998,2300,302,True
380,1998,2300,302,True
337,2003,2300,297,True
342,2003,2300,297,True
362,2007,2300,293,True
399,2007,2300,293,True
405,2007,2300,293,True
345,2017,2300,283,True
359,2017,2300,283,True
272,2036,2300,264,True
275,2036,2300,264,True
305,2036,2300,264,True
306,2036,2300,264,True
357,2045,2300,255,True
385,2045,2300,255,True
383,2052,2300,248,True
388,2052,2300,248,True
391,2052,2300,248,True
300,2064,2300,236,True
341,2064,2300,236,True
242,2072,2300,228,True
257,2072,2300,228,True
292,2072,2300,228,True
324,2075,2300,225,True
372,2075,2300,225,True
376,2081,2300,219,True
396,2081,2300,219,True
334,2135,2300,165,True
371,2135,2300,165,True
310,2154,2300,146,True
340,2154,2300,146,True
373,2171,2300,129,True
390,2171,2300,129,True
397,2171,2300,129,True
283,2177,2300,123,True
313,2177,2300,123,True
335,2177,2300,123,True
339,2197,2300,103,True
327,2221,2300,79,True
386,2221,2300,79,True
389,2235,2300,65,True
413,2235,2300,65,True
349,2252,2300,,False
358,2252,2300,,False
308,2260,2300,,False
319,2260,2300,,False
331,2260,2300,,False
332,2260,2300,,False
266,2276,2300,,False
296,2276,2300,,False
315,2276,2300,,False
400,2284,2300,,False
406,2284,2300,,False
321,2287,2300,,False
367,2287,2300,,False
364,2331,2300,,False
374,2331,2300,,False
375,2331,2300,,False
408,2337,2300,,False
455,2342,3200,858,True
356,2346,2300,,False
370,2346,2300,,False
392,2346,2300,,False
368,2351,2300,,False
379,2351,2300,,False
402,2351,2300,,False
401,2369,2300,,False
424,2369,2300,,False
403,2407,2300,,False
430,2407,2300,,False
434,2407,2300,,False
437,2407,3200,793,True
378,2413,2300,,False
411,2413,2300,,False
440,2413,3200,787,True
443,2413,3200,787,True
274,2438,2300,,False
280,2438,2300,,False
302,2438,2300,,False
312,2438,2300,,False
419,2443,2300,,False
444,2443,3200,757,True
485,2495,3200,705,True
498,2495,3200,705,True
415,2499,2300,,False
422,2499,3200,701,True
432,2499,3200,701,True
316,2510,2300,,False
317,2510,2300,,False
347,2510,2300,,False
421,2513,2300,,False
452,2513,3200,687,True
414,2519,2300,,False
460,2519,3200,681,True
457,2530,3200,670,True
473,2530,3200,670,True
479,2530,3200,670,True
427,2537,2300,,False
465,2583,3200,617,True
477,2583,3200,617,True
381,2599,2300,,False
394,2599,2300,,False
417,2599,3200,601,True
489,2608,3200,592,True
491,2608,3200,592,True
346,2623,2300,,False
365,2623,2300,,False
404,2623,3200,577,True
483,2642,3200,558,True
506,2642,3200,558,True
495,2646,3200,554,True
522,2646,3200,554,True
526,2646,3200,554,True
416,2648,2300,,False
429,2648,2300,,False
418,2652,3200,548,True
453,2652,3200,548,True
409,2657,2300,,False
412,2657,3200,543,True
439,2683,3200,517,True
445,2683,3200,517,True
451,2683,3200,517,True
471,2694,3200,506,True
486,2694,3200,506,True
509,2694,3200,506,True
504,2699,3200,501,True
513,2699,3200,501,True
519,2699,3200,501,True
470,2703,3200,497,True
472,2703,3200,497,True
449,2713,3200,487,True
480,2713,3200,487,True
514,2744,3200,456,True
554,2744,3200,456,True
441,2780,3200,420,True
482,2780,3200,420,True
487,2780,3200,420,True
410,2786,3200,414,True
435,2786,3200,414,True
446,2786,3200,414,True
387,2790,2300,,False
395,2790,2300,,False
433,2790,3200,410,True
436,2790,3200,410,True
468,2792,3200,408,True
515,2792,3200,408,True
423,2802,3200,398,True
426,2802,3200,398,True
431,2802,3200,398,True
527,2809,3200,391,True
501,2822,3200,378,True
524,2822,3200,378,True
456,2857,3200,343,True
478,2857,3200,343,True
448,2860,3200,340,True
461,2860,3200,340,True
464,2860,3200,340,True
492,2929,3200,271,True
518,2929,3200,271,True
538,2929,3200,271,True
521,2938,3200,262,True
534,2938,3200,262,True
512,2963,3200,237,True
544,2963,3200,237,True
536,2968,3200,232,True
533,2973,3200,227,True
571,2973,3200,227,True
573,2973,3200,227,True
469,2983,3200,217,True
476,2983,3200,217,True
