taxi_id,operation_time_percentage
t1,60.31
t2,66.83
t3,66.71
t4,58.88
t5,64.71
t6,65.26
t7,69.71
t8,61.76
t9,58.93
t10,57.38
t11,53.9
t12,61.29
t13,63.26
t14,57.69
t15,56.76
t16,62.88
t17,53.6
t18,63.07
t19,58.86
t20,60.43
t21,52.86
t22,57.07
t23,52.9
t24,46.95
t25,63.86
t26,54.93
t27,68.95
t28,63.64
t29,66.17
t30,60.88
