order_id,detour_ratio_percents
11,12.0
28,53.0
31,16.0
32,7.0
53,58.0
59,9.0
70,45.0
98,58.0
151,18.0
181,10.0
190,7.0
193,25.0
205,7.0
221,56.0
226,10.0
235,13.0
243,17.0
246,56.0
257,30.0
266,6.0
281,10.0
287,53.0
