cab_id,empty_cruise_ratio_percentage
1,33.08
2,35.21
3,38.85
4,37.45
5,31.92
6,30.17
7,34.6
8,39.2
9,40.16
10,33.13
11,30.88
12,29.25
13,34.86
14,41.87
15,35.43
16,36.04
17,41.58
18,36.77
19,35.76
20,32.2
21,34.08
22,29.11
23,32.17
24,35.48
25,39.02
26,37.73
27,35.96
28,36.1
29,34.84
30,30.94
