cab_id,operating_time_ratio_percentage
1,77.02
2,88.79
3,83.4
4,83.67
5,89.0
6,78.29
7,77.07
8,90.38
9,62.31
10,76.4
11,78.81
12,78.71
13,87.98
14,70.69
15,78.36
16,74.86
17,77.19
18,73.36
19,78.43
20,73.79
21,80.69
22,71.74
23,81.79
24,79.67
25,78.4
26,75.86
27,80.31
28,75.52
29,72.64
30,76.12
