cab_id,operating_time_ratio_percentage
1,85.19
2,79.4
3,89.0
4,81.07
5,89.4
6,83.71
7,84.52
8,82.98
9,77.12
10,79.79
11,83.29
12,83.55
13,91.67
14,92.5
15,84.81
16,80.1
17,81.02
18,80.24
19,91.43
20,85.79
21,76.57
22,79.57
23,87.93
24,80.79
25,89.71
26,84.98
27,82.5
28,89.29
29,82.69
30,80.88
