order_id,completed_seconds,next_train_time,waiting_time,on_time
17,322,1400,1078,True
5,328,1400,1072,True
13,332,1400,1068,True
16,338,1400,1062,True
12,354,1400,1046,True
15,354,1400,1046,True
9,385,1400,1015,True
22,398,1400,1002,True
2,425,1400,975,True
27,443,1400,957,True
3,448,1400,952,True
6,448,1400,952,True
10,450,1400,950,True
7,476,1400,924,True
21,516,1400,884,True
40,535,1400,865,True
44,535,1400,865,True
20,546,1400,854,True
19,563,1400,837,True
45,567,1400,833,True
23,570,1400,830,True
29,580,1400,820,True
39,580,1400,820,True
1,587,500,,False
4,587,1400,813,True
28,591,1400,809,True
34,591,1400,809,True
14,597,1400,803,True
25,614,1400,786,True
8,627,1400,773,True
11,627,1400,773,True
51,641,1400,759,True
36,644,1400,756,True
37,644,1400,756,True
54,652,1400,748,True
42,665,1400,735,True
26,670,1400,730,True
31,670,1400,730,True
18,675,1400,725,True
24,675,1400,725,True
52,717,1400,683,True
32,722,1400,678,True
47,733,1400,667,True
33,738,1400,662,True
38,738,1400,662,True
49,763,1400,637,True
53,763,1400,637,True
50,772,1400,628,True
41,795,1400,605,True
62,805,1400,595,True
30,821,1400,579,True
58,824,1400,576,True
55,834,1400,566,True
60,866,1400,534,True
63,870,1400,530,True
65,870,1400,530,True
43,873,1400,527,True
46,901,1400,499,True
48,901,1400,499,True
73,906,1400,494,True
35,912,1400,488,True
64,921,1400,479,True
57,925,1400,475,True
68,936,1400,464,True
76,944,1400,456,True
61,947,1400,453,True
77,951,1400,449,True
66,985,1400,415,True
71,995,1400,405,True
83,999,1400,401,True
72,1016,1400,384,True
79,1035,1400,365,True
59,1059,1400,341,True
69,1062,1400,338,True
75,1062,1400,338,True
81,1097,1400,303,True
86,1103,1400,297,True
87,1107,1400,293,True
93,1110,1400,290,True
89,1121,1400,279,True
97,1121,1400,279,True
92,1125,1400,275,True
94,1125,1400,275,True
84,1127,1400,273,True
74,1130,1400,270,True
100,1134,1400,266,True
101,1134,1400,266,True
78,1143,1400,257,True
85,1197,1400,203,True
67,1204,1400,196,True
123,1243,1400,157,True
80,1248,1400,152,True
91,1248,1400,152,True
112,1254,1400,146,True
139,1271,1400,129,True
99,1275,1400,125,True
114,1278,1400,122,True
108,1281,1400,119,True
109,1291,1400,109,True
141,1301,1400,99,True
56,1315,1400,85,True
118,1332,1400,68,True
131,1342,1400,,False
103,1357,1400,,False
98,1371,1400,,False
113,1377,1400,,False
122,1377,1400,,False
125,1377,1400,,False
88,1411,1400,,False
95,1411,1400,,False
137,1428,1400,,False
121,1435,1400,,False
128,1481,1400,,False
133,1481,1400,,False
120,1485,1400,,False
135,1485,2300,815,True
70,1494,1400,,False
106,1494,1400,,False
104,1498,1400,,False
116,1498,1400,,False
130,1533,1400,,False
150,1538,2300,762,True
159,1538,2300,762,True
147,1549,1400,,False
153,1571,2300,729,True
185,1571,2300,729,True
111,1587,1400,,False
152,1592,2300,708,True
182,1592,2300,708,True
102,1594,1400,,False
161,1599,2300,701,True
164,1599,2300,701,True
170,1615,2300,685,True
192,1615,2300,685,True
196,1615,2300,685,True
105,1618,1400,,False
124,1618,2300,682,True
134,1629,1400,,False
167,1629,2300,671,True
174,1629,2300,671,True
171,1671,2300,629,True
176,1671,2300,629,True
179,1671,2300,629,True
96,1674,1400,,False
119,1674,2300,626,True
181,1677,2300,623,True
149,1683,2300,617,True
168,1683,2300,617,True
146,1686,2300,614,True
201,1686,2300,614,True
115,1688,1400,,False
151,1719,2300,581,True
132,1736,1400,,False
177,1736,2300,564,True
142,1821,2300,479,True
148,1821,2300,479,True
82,1824,1400,,False
117,1824,2300,476,True
200,1829,2300,471,True
126,1857,2300,443,True
138,1857,2300,443,True
187,1862,2300,438,True
194,1862,2300,438,True
156,1881,2300,419,True
145,1906,2300,394,True
183,1906,2300,394,True
188,1906,2300,394,True
189,1918,2300,382,True
209,1918,2300,382,True
206,1926,2300,374,True
165,1929,2300,371,True
178,1929,2300,371,True
144,1940,2300,360,True
157,1940,2300,360,True
155,1944,2300,356,True
197,1944,2300,356,True
217,1948,2300,352,True
233,1948,2300,352,True
227,1953,2300,347,True
210,1956,2300,344,True
162,1975,2300,325,True
166,1975,2300,325,True
220,1980,2300,320,True
236,1980,2300,320,True
225,2003,2300,297,True
240,2003,2300,297,True
184,2012,2300,288,True
207,2012,2300,288,True
202,2031,2300,269,True
259,2039,2300,261,True
267,2039,2300,261,True
203,2043,2300,257,True
228,2043,2300,257,True
211,2046,2300,254,True
226,2046,2300,254,True
163,2057,2300,243,True
136,2088,2300,212,True
158,2088,2300,212,True
173,2088,2300,212,True
193,2108,2300,192,True
242,2123,2300,177,True
281,2171,2300,129,True
140,2175,2300,125,True
154,2175,2300,125,True
199,2185,2300,115,True
222,2198,2300,102,True
231,2198,2300,102,True
205,2232,2300,68,True
218,2232,2300,68,True
287,2235,2300,65,True
172,2239,2300,61,True
214,2239,2300,61,True
252,2251,2300,,False
264,2251,2300,,False
248,2258,2300,,False
250,2258,2300,,False
271,2262,2300,,False
285,2262,2300,,False
257,2265,2300,,False
247,2287,2300,,False
213,2291,2300,,False
232,2291,2300,,False
169,2297,2300,,False
195,2297,2300,,False
198,2297,2300,,False
221,2318,2300,,False
235,2323,2300,,False
258,2323,2300,,False
234,2336,2300,,False
273,2336,2300,,False
295,2367,3200,833,True
315,2367,3200,833,True
190,2370,2300,,False
204,2370,2300,,False
215,2370,2300,,False
308,2373,3200,827,True
313,2373,3200,827,True
282,2401,3200,799,True
301,2401,3200,799,True
239,2416,2300,,False
243,2430,2300,,False
269,2430,2300,,False
270,2430,2300,,False
238,2453,2300,,False
260,2453,2300,,False
212,2461,2300,,False
219,2461,2300,,False
304,2541,3200,659,True
327,2541,3200,659,True
300,2552,3200,648,True
307,2552,3200,648,True
302,2560,3200,640,True
322,2560,3200,640,True
230,2563,2300,,False
244,2563,2300,,False
229,2567,2300,,False
261,2567,2300,,False
272,2567,3200,633,True
277,2567,3200,633,True
251,2569,2300,,False
294,2569,3200,631,True
311,2578,3200,622,True
336,2578,3200,622,True
284,2588,2300,,False
335,2588,3200,612,True
246,2593,2300,,False
275,2593,3200,607,True
299,2605,3200,595,True
326,2605,3200,595,True
262,2612,2300,,False
291,2612,3200,588,True
253,2634,2300,,False
256,2634,3200,566,True
305,2644,3200,556,True
279,2647,3200,553,True
316,2647,3200,553,True
254,2652,2300,,False
278,2652,3200,548,True
303,2663,3200,537,True
341,2663,3200,537,True
292,2666,3200,534,True
314,2666,3200,534,True
350,2708,3200,492,True
364,2708,3200,492,True
317,2746,3200,454,True
338,2746,3200,454,True
371,2759,3200,441,True
296,2763,3200,437,True
310,2763,3200,437,True
368,2773,3200,427,True
330,2776,3200,424,True
297,2780,3200,420,True
319,2780,3200,420,True
370,2783,3200,417,True
375,2783,3200,417,True
286,2794,3200,406,True
332,2794,3200,406,True
339,2794,3200,406,True
365,2805,3200,395,True
374,2805,3200,395,True
331,2810,3200,390,True
354,2816,3200,384,True
367,2821,3200,379,True
241,2827,2300,,False
255,2827,3200,373,True
280,2827,3200,373,True
334,2856,3200,344,True
333,2863,3200,337,True
344,2863,3200,337,True
347,2863,3200,337,True
293,2871,3200,329,True
346,2871,3200,329,True
345,2897,3200,303,True
283,2903,3200,297,True
298,2903,3200,297,True
320,2918,3200,282,True
321,2918,3200,282,True
323,2918,3200,282,True
329,2918,3200,282,True
318,2987,3200,213,True
325,2987,3200,213,True
353,2999,3200,201,True
390,2999,3200,201,True
337,3011,3200,189,True
340,3022,3200,178,True
363,3022,3200,178,True
358,3029,3200,171,True
403,3029,3200,171,True
384,3039,3200,161,True
415,3044,3200,156,True
421,3044,3200,156,True
361,3059,3200,141,True
380,3059,3200,141,True
446,3068,3200,132,True
447,3068,3200,132,True
352,3073,3200,127,True
389,3073,3200,127,True
413,3086,3200,114,True
343,3091,3200,109,True
351,3091,3200,109,True
386,3095,3200,105,True
406,3095,3200,105,True
410,3095,3200,105,True
379,3114,3200,86,True
