cab_id,empty_cruise_ratio_percentage
1,37.09
2,34.57
3,38.39
4,34.63
5,33.0
6,28.47
7,34.79
8,30.36
9,30.81
10,29.13
11,36.11
12,31.75
13,35.48
14,39.05
15,34.73
16,36.74
17,36.17
18,37.09
19,35.13
20,37.02
21,38.56
22,30.94
23,34.25
24,33.22
25,35.01
26,34.02
27,32.09
28,34.67
29,36.77
30,34.62
