cab_id,avg_occupancy
1,1.0
2,1.0
3,1.0
4,1.67
5,1.0
6,1.33
7,1.0
8,1.33
9,1.0
10,1.0
11,1.0
12,1.5
13,1.0
14,1.0
15,1.5
16,1.25
17,1.0
18,1.0
19,1.33
20,1.5
21,1.0
22,2.0
23,1.0
24,1.33
25,1.0
26,1.0
27,1.33
28,1.0
29,1.0
30,1.0
