cab_id,empty_cruise_ratio_percentage
1,28.26
2,26.64
3,34.11
4,34.69
5,24.54
6,20.4
7,29.39
8,43.3
9,35.79
10,37.07
11,33.3
12,20.38
13,39.85
14,34.5
15,40.74
16,32.9
17,39.12
18,36.89
19,31.49
20,30.95
21,26.73
22,38.9
23,23.94
24,20.8
25,40.23
26,29.55
27,31.44
28,31.17
29,28.57
30,48.35
