order_id,completed_seconds,next_train_time,waiting_time,on_time
1,208,500,292,True
6,212,500,288,True
12,257,500,243,True
2,261,1400,1139,True
10,297,500,203,True
17,329,1400,1071,True
11,371,1400,1029,True
21,399,1400,1001,True
15,408,1400,992,True
20,416,1400,984,True
18,420,1400,980,True
7,425,1400,975,True
23,430,1400,970,True
27,433,1400,967,True
14,438,1400,962,True
9,441,1400,959,True
3,446,1400,954,True
4,446,1400,954,True
24,464,1400,936,True
29,469,1400,931,True
19,503,1400,897,True
31,514,1400,886,True
26,528,1400,872,True
22,532,1400,868,True
5,556,1400,844,True
8,556,1400,844,True
32,559,1400,841,True
28,563,1400,837,True
34,569,1400,831,True
35,569,1400,831,True
33,573,1400,827,True
25,582,1400,818,True
36,598,1400,802,True
44,619,1400,781,True
42,635,1400,765,True
52,639,1400,761,True
16,642,1400,758,True
13,642,1400,758,True
30,645,1400,755,True
48,649,1400,751,True
40,653,1400,747,True
39,653,1400,747,True
53,672,1400,728,True
45,682,1400,718,True
62,688,1400,712,True
50,693,1400,707,True
59,704,1400,696,True
51,707,1400,693,True
54,738,1400,662,True
63,763,1400,637,True
41,767,1400,633,True
37,785,1400,615,True
38,785,1400,615,True
55,807,1400,593,True
71,813,1400,587,True
75,820,1400,580,True
47,842,1400,558,True
73,845,1400,555,True
49,871,1400,529,True
46,871,1400,529,True
58,885,1400,515,True
61,889,1400,511,True
60,889,1400,511,True
43,894,1400,506,True
76,899,1400,501,True
83,903,1400,497,True
69,926,1400,474,True
70,931,1400,469,True
68,935,1400,465,True
66,981,1400,419,True
56,1001,1400,399,True
57,1001,1400,399,True
78,1018,1400,382,True
77,1025,1400,375,True
64,1044,1400,356,True
99,1049,1400,351,True
65,1052,1400,348,True
67,1055,1400,345,True
89,1058,1400,342,True
80,1062,1400,338,True
85,1071,1400,329,True
92,1086,1400,314,True
97,1086,1400,314,True
91,1095,1400,305,True
72,1099,1400,301,True
84,1109,1400,291,True
95,1137,1400,263,True
87,1221,1400,179,True
79,1281,1400,119,True
96,1314,1400,86,True
100,1314,1400,86,True
74,1321,1400,79,True
88,1336,1400,64,True
86,1368,1400,,False
98,1372,1400,,False
93,1408,1400,,False
94,1408,1400,,False
