cab_id,operating_time_ratio_percentage
1,51.8
2,65.27
3,67.6
4,68.2
5,70.33
6,69.53
7,88.73
8,62.2
9,36.8
10,56.87
11,58.93
12,63.4
13,80.6
14,61.8
15,52.0
16,81.93
17,57.8
18,76.73
19,82.47
20,47.2
21,67.13
22,41.0
23,56.73
24,77.73
25,68.33
26,75.93
27,71.2
28,65.0
29,57.53
30,58.73
