cab_id,operating_time_ratio_percentage
1,67.27
2,70.87
3,76.87
4,50.6
5,74.0
6,78.27
7,70.2
8,46.4
9,64.8
10,64.8
11,63.6
12,71.6
13,69.4
14,53.53
15,58.67
16,74.33
17,62.13
18,85.4
19,62.53
20,46.53
21,80.13
22,55.4
23,57.33
24,77.4
25,73.8
26,72.47
27,75.6
28,56.53
29,51.4
30,53.33
